1,James Pilot,Pilot
2,Robert Pilot,Pilot
3,William Pilot,Pilot
4,Michael Pilot,Pilot
5,Richard Pilot,Pilot
6,Joseph Pilot,Pilot
7,Thomas Pilot,Pilot
8,Charles Pilot,Pilot
9,Daniel Gunner,Gunner
10,Matthew Gunner,Gunner
11,Anthony Gunner,Gunner
12,Mark Gunner,Gunner
13,Donald Gunner,Gunner
14,Steven Gunner,Gunner
15,Paul Gunner,Gunner
16,Andrew Gunner,Gunner
17,Joshua Gunner,Gunner
18,Kenneth Gunner,Gunner
19,Kevin Gunner,Gunner
20,Brian Gunner,Gunner
21,George Gunner,Gunner
22,Edward Gunner,Gunner
23,Ronald Gunner,Gunner
24,Timothy Gunner,Gunner
25,Jason Gunner,Gunner
26,Jeffrey Gunner,Gunner
27,Ryan TorpedoHandler,TorpedoHandler
28,Jacob TorpedoHandler,TorpedoHandler
29,Gary TorpedoHandler,TorpedoHandler
30,Nicholas TorpedoHandler,TorpedoHandler
31,Eric TorpedoHandler,TorpedoHandler
